#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,14,410.21,86.06,90.00,0603,0603/0.1uF,1.30,100,2.50,100,No,-40,1,100,4,50,80,No,Yes,-40,-40,-40,-40,
stack,2,0,14,410.36,99.95,90.00,0603,0603/10uF,1.30,100,2.50,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,3,0,14,410.42,113.23,90.00,0603,0603/330,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,4,0,14,410.04,127.41,90.00,0603,0603/2K,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,5,0,14,410.18,141.11,90.00,0603,0603/9K,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,7,0,14,410.75,168.99,90.00,0603,0603/64K,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,8,0,14,410.80,246.75,90.00,0603,0603/100K,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,9,0,14,410.67,260.86,90.00,0603,0603/150K,1.30,100,2.30,100,No,-40,1,100,4,50,30,No,Yes,-40,-40,-40,-40,
stack,11,0,14,410.32,288.29,90.00,0603,0603/0603_DIODE_DEV,1.30,100,2.70,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,
stack,16,0,14,410.61,357.19,90.00,,SOT23/2N2222,1.10,100,3.00,100,No,-40,1,100,4,50,50,No,No,-40,-40,-40,-40,
stack,20,0,1,25.77,22.34,-90.00,,ESD/USB_ESD_DEVSOT143,0.80,100,3.00,100,No,-40,1,50,4,50,80,No,No,-40,-40,-40,-40,
stack,22,0,1,25.50,50.29,-90.00,,SOT6/N_MOSFET_DEVSOT23-6L_PKG,0.50,100,0.00,100,No,-40,1,50,4,50,80,No,No,-40,-40,-40,-40,
stack,24,0,3,25.94,79.28,-90.00,,5050/5050_DEV,0.30,100,3.80,100,No,-40,1,50,8,50,80,No,No,-40,-40,-40,-40,
stack,25,0,2,25.55,97.21,-90.00,SOP8,485/MAX_485_DEV3D,1.30,100,3.70,100,No,-40,1,80,8,50,80,No,No,-40,-40,-40,-40,
stack,26,0,2,25.96,114.68,-90.00,,USBIC/USB_TO_UART_DEV,1.30,200,3.20,100,No,-40,1,50,8,30,50,No,No,-40,-40,-40,-40,
stack,27,0,2,25.28,131.64,-90.00,,LDO/LD1117S33CTR_DEVLD1117S33CTR,1.30,100,4.00,100,No,-40,1,80,8,50,80,No,No,-40,-40,-40,-40,
stack,28,0,2,25.61,149.18,-90.00,PROTECTION,PROTECTION/AP9214L_DEV,1.50,100,2.90,100,No,-40,1,50,4,30,50,No,No,-40,-40,-40,-40,
stack,29,0,2,25.42,166.96,-90.00,,MNGT/BQ24072TRGTR_DEVBQ24072TRGTR,1.30,100,3.20,100,No,-40,1,50,8,30,50,No,No,-40,-40,-40,-40,
stack,30,0,3,25.47,185.67,-90.00,,USB/USB_ALI_DEV,1.10,100,5.00,300,No,-40,1,50,12,50,80,No,No,-40,-40,-40,-40,
stack,98,1,3,94.75,57.25,0.00,,ESP32/ESP_32_WROVER_I_PKG,4.50,340,4.50,0,No,-40,3,30,5,2,188.66,93.00,3,1,No,No,-40,-40,-100,-40,
pcb,Manual,Trace,100,100,350,350,Back,10,10,200,
mark,Mirror,Manual,344.334,247.775,335.246,349.284,354.156,342.176,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
test,No,
mirror_create,5,2,346.45,260.73,346.09,148.89,258.3,149.32,-0.184436,
mirror,346.45,260.73,0,Yes,
mirror,324.50,260.84,0,Yes,
mirror,302.55,260.95,0,Yes,
mirror,280.61,261.05,0,No,
mirror,258.66,261.16,0,No,
mirror,346.09,148.89,0,No,
mirror,324.14,149.00,0,No,
mirror,302.20,149.11,0,No,
mirror,280.25,149.21,0,No,
mirror,258.30,149.32,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C1,0.1uF,0603,346.44,260.77,90.00,No,
comp,2,4,C2,10uF,0603,347.89,260.77,90.00,No,
comp,2,1,C3,10uF,0603,344.51,273.80,0.00,No,
comp,1,4,C4,0.1uF,0603,340.44,279.76,0.00,No,
comp,2,1,C5,10uF,0603,347.58,287.42,0.00,No,
comp,2,4,C6,10uF,0603,353.05,292.67,0.00,No,
comp,2,1,C7,10uF,0603,353.02,294.20,0.00,No,
comp,1,4,C8,0.1uF,0603,353.09,295.62,0.00,No,
comp,1,1,C9,0.1uF,0603,353.04,291.25,180.00,No,
comp,1,4,C10,0.1uF,0603,345.36,335.04,90.00,No,
comp,1,1,C11,0.1uF,0603,342.36,335.05,90.00,No,
comp,1,4,C12,0.1uF,0603,343.82,335.06,90.00,No,
comp,2,1,C13,10uF,0603,339.84,338.79,90.00,No,
comp,1,4,C14,0.1uF,0603,341.35,338.83,90.00,No,
comp,1,1,C15,0.1uF,0603,337.81,347.76,0.00,No,
comp,2,4,C16,10uF,0603,346.89,281.32,-45.00,No,
comp,11,1,D1,0603_DIODE_DEV,0603,353.14,283.20,0.00,No,
comp,24,4,D2,5050_DEV,5050,344.75,339.66,-90.00,No,
comp,20,1,D3,USB_ESD_DEVSOT143,ESD,349.75,343.66,-90.00,No,
comp,16,4,Q1,2N2222,SOT23,352.60,330.67,180.00,No,
comp,16,1,Q2,2N2222,SOT23,344.84,330.68,0.00,No,
comp,16,1,Q3,2N2222,SOT23,348.86,334.65,0.00,No,
comp,22,4,Q4,N_MOSFET_DEVSOT23-6L_PKG,SOT6,341.21,347.69,0.00,No,
comp,7,1,R1,64K,0603,353.11,281.64,180.00,No,
comp,8,4,R2,100K,0603,353.12,280.19,0.00,No,
comp,9,1,R3,150K,0603,353.12,278.68,0.00,No,
comp,4,4,R4,2K,0603,340.61,276.75,0.00,No,
comp,7,1,R5,64K,0603,340.54,278.24,0.00,No,
comp,4,4,R6,2K,0603,340.58,284.19,0.00,No,
comp,5,1,R7,9K,0603,340.45,281.53,180.00,No,
comp,4,4,R9,2K,0603,340.41,283.13,180.00,No,
comp,8,1,R11,100K,0603,347.63,285.37,0.00,No,
comp,8,4,R12,100K,0603,347.58,283.35,0.00,No,
comp,5,1,R13,9K,0603,353.12,289.64,0.00,No,
comp,5,4,R14,9K,0603,348.75,331.66,180.00,No,
comp,5,1,R15,9K,0603,348.75,329.66,0.00,No,
comp,5,4,R16,9K,0603,337.74,336.69,180.00,No,
comp,5,1,R17,9K,0603,352.71,333.67,180.00,No,
comp,3,4,R18,330,0603,337.75,349.16,180.00,No,
comp,4,1,R19,2K,0603,335.29,343.77,90.00,No,
comp,8,4,R20,100K,0603,344.52,272.22,180.00,No,
comp,9,1,R21,150K,0603,339.52,273.72,180.00,No,
comp,25,2,U1,MAX_485_DEV3D,485,344.38,266.18,180.00,No,
comp,29,1,U2,BQ24072TRGTR_DEVBQ24072TRGTR,MNGT,344.41,278.77,0.00,No,
comp,27,2,U3,LD1117S33CTR_DEVLD1117S33CTR,LDO,344.75,292.16,-90.00,No,
comp,26,1,U5,USB_TO_UART_DEV,USBIC,338.24,332.76,90.00,No,
comp,28,1,U6,AP9214L_DEV,PROTECTION,337.61,345.46,-90.00,Yes,
comp,30,2,X2,USB_ALI_DEV,USB,349.74,348.98,90.00,No,
comp,98,3,Z1,ESP_32_WROVER_I_PKG,ESP32,344.75,315.66,180.00,Yes,
